customer_id,name,age,gender,city,latitude,longitude,phone,email,signup_date,is_active,recency_days,frequency,monetary,avg_order_value,avg_discount_used,preferred_payment,cuisine_variety,first_order_date,last_order_date,days_since_first,customer_segment,customer_tenure_months,avg_order_frequency_days
CUST_00001,Allison Hill,19,Female,Surat,21.18787,72.870318,3215819600,williamjohnson@example.org,2024-08-20,True,79.0,7.0,2517.97,359.71,31.740000000000002,Upi,7.0,2023-08-06,2025-04-12,694.0,Silver,23.0,99.0
CUST_00002,Jerry Ramirez,18,Female,Pune,18.526525,73.878302,3268542351,howardmaurice@example.com,2020-05-14,True,296.0,6.0,2364.8,394.1333333333334,9.933333333333334,Upi,6.0,2022-01-22,2024-09-07,1255.0,Churned,41.0,209.0
CUST_00003,Kimberly Dudley,48,Male,Pune,18.512661,73.834487,51834959310341,oramirez@example.com,2021-05-20,True,154.0,12.0,5146.83,428.9025,26.12,Upi,11.0,2022-01-04,2025-01-27,1273.0,Gold,42.0,106.0
CUST_00004,Daniel Adams,23,Female,Bhopal,23.270273,77.443313,1519228327648350,richard13@example.net,2022-09-04,True,218.0,8.0,3395.0299999999997,424.37874999999997,21.8225,Upi,8.0,2022-09-25,2024-11-24,1009.0,Churned,33.0,126.0
CUST_00005,Jonathan Wilkerson,19,Female,Jaipur,26.950945,75.773464,177254238849696,williamdavis@example.org,2020-12-06,True,180.0,5.0,2602.12,520.424,7.734,Cod,5.0,2022-11-19,2025-01-01,954.0,At Risk,31.0,190.0
CUST_00006,Christopher Becker,64,Female,Delhi,28.740748,77.090513,16167697848018,cartereric@example.org,2022-03-29,True,358.0,7.0,3394.42,484.9171428571429,53.56857142857143,Upi,7.0,2022-03-16,2024-07-07,1202.0,Churned,40.0,171.0
CUST_00007,Pamela Romero,23,Male,Indore,22.763265,75.872504,2487932528,xsmith@example.com,2022-01-13,True,367.0,9.0,3223.7400000000002,358.1933333333334,32.107777777777784,Credit Card,9.0,2022-03-11,2024-06-28,1207.0,Churned,40.0,134.0
CUST_00008,Shawn Arroyo,38,Male,Bangalore,13.014139,77.613416,6718822782,sarahcampos@example.net,2021-09-16,True,42.0,4.0,1791.04,447.76,36.435,Upi,4.0,2022-12-28,2025-05-19,915.0,Silver,30.0,228.0
CUST_00009,Jennifer Powers,30,Male,Kolkata,22.613914,88.370618,5785713315098,jonescrystal@example.org,2020-07-28,True,260.0,10.0,5268.91,526.891,25.428,Upi,9.0,2022-02-09,2024-10-13,1237.0,Gold,41.0,123.0
CUST_00010,Shannon Jones,25,Male,Hyderabad,17.391137,78.462974,5479382997,glee@example.net,2023-09-01,True,197.0,3.0,2142.06,714.02,10.5,Cod,3.0,2022-10-14,2024-12-15,990.0,Churned,33.0,330.0
CUST_00011,Jason Shields,62,Male,Coimbatore,11.016152,76.981378,9104651333,dwhite@example.org,2020-08-22,False,0.0,0.0,0.0,0.0,0.0,UPI,0.0,2020-08-22,2020-08-22,0.0,New,0.0,0.0
CUST_00012,Scott Pierce,20,Male,Bangalore,13.021212,77.597511,5808132677,martinaaron@example.com,2022-04-03,False,0.0,0.0,0.0,0.0,0.0,UPI,0.0,2022-04-03,2022-04-03,0.0,New,0.0,0.0
CUST_00013,Rachel Mitchell,43,Female,Indore,22.703618,75.83705,12872234309805,hshaw@example.org,2020-06-25,True,470.0,6.0,2564.0299999999997,427.3383333333333,30.175,Credit Card,6.0,2022-04-07,2024-03-17,1180.0,Churned,39.0,196.0
CUST_00014,Angela Lopez,71,Female,Mumbai,19.055844,72.891595,18137619399091,james53@example.com,2023-05-14,True,289.0,4.0,2655.27,663.8175,15.3275,Upi,4.0,2022-02-21,2024-09-14,1225.0,Churned,40.0,306.0
CUST_00015,Matthew Bryant,72,Female,Bangalore,13.013449,77.604494,1310579911838425,justin78@example.net,2022-07-28,True,119.0,11.0,5640.25,512.75,5.495454545454546,Upi,11.0,2022-01-19,2025-03-03,1258.0,Gold,41.0,114.0
CUST_00016,Victoria Valdez,23,Female,Delhi,28.748795,77.061065,4846124118,cassandra53@example.net,2025-05-24,True,453.0,4.0,1382.18,345.545,7.6775,Upi,4.0,2022-02-08,2024-04-03,1238.0,Churned,41.0,309.0
CUST_00017,Kathy King,39,Female,Delhi,28.670613,77.105267,4169400524,hhoffman@example.org,2021-04-08,True,1.0,7.0,3199.12,457.01714285714286,46.86,Wallet,7.0,2022-01-07,2025-06-29,1270.0,Silver,42.0,181.0
CUST_00018,Sandra Aguilar,39,Female,Hyderabad,17.372342,78.526661,5623045053,kimberly69@example.net,2021-04-25,True,477.0,3.0,2163.17,721.0566666666667,61.629999999999995,Credit Card,3.0,2022-10-18,2024-03-10,986.0,Churned,32.0,328.0
CUST_00019,Cynthia Martin,28,Male,Hyderabad,17.357022,78.443799,3608256342,garrisonjeffrey@example.com,2022-12-22,True,16.0,10.0,5626.05,562.605,4.328,Wallet,10.0,2022-01-25,2025-06-14,1252.0,Gold,41.0,125.0
CUST_00020,Robert Perez,27,Male,Hyderabad,17.383541,78.490623,8367541458,wilsontara@example.org,2024-12-08,True,81.0,8.0,3968.9999999999995,496.12499999999994,12.161249999999999,Upi,8.0,2022-05-08,2025-04-10,1149.0,Silver,38.0,143.0
CUST_00021,Deborah Rodriguez,55,Female,Coimbatore,10.985841,76.915493,555769816934060,qjones@example.com,2025-04-20,True,7.0,4.0,1674.1,418.525,59.3375,Credit Card,4.0,2022-04-13,2025-06-23,1174.0,Silver,39.0,293.0
CUST_00022,Ryan Cortez,75,Male,Pune,18.510662,73.84063,68486564823662,torresjason@example.net,2025-02-27,False,0.0,0.0,0.0,0.0,0.0,UPI,0.0,2025-02-27,2025-02-27,0.0,New,0.0,0.0
CUST_00023,Julie Ramos,30,Male,Hyderabad,17.359981,78.529027,3875214895,jeffrey32@example.org,2020-05-23,True,72.0,7.0,3177.96,453.9942857142857,17.805714285714284,Upi,7.0,2022-04-15,2025-04-19,1172.0,Silver,39.0,167.0
CUST_00024,John Atkinson,75,Female,Indore,22.7665,75.900337,4762936763,osbornejeffery@example.net,2024-05-28,True,201.0,6.0,2922.86,487.1433333333334,15.815,Upi,6.0,2022-06-23,2024-12-11,1103.0,Churned,36.0,183.0
CUST_00025,Justin Lowery,55,Female,Bangalore,12.938064,77.544816,8729788957,juliawells@example.com,2022-02-07,True,61.0,8.0,3261.07,407.63375,28.38375,Upi,7.0,2022-01-28,2025-04-30,1249.0,Silver,41.0,156.0
CUST_00026,Destiny Strickland,31,Female,Coimbatore,10.98579,76.92757,43457143455812,tbenson@example.org,2020-07-18,True,31.0,5.0,2421.56,484.312,39.062,Credit Card,5.0,2022-03-30,2025-05-30,1188.0,Silver,39.0,237.0
